tweet_type,userid,screen_name,date,hashtag,qtd_hashtag,rt_hashtag
original,1259538128777461760,natalie_k7,Sat Aug 01 03:37:22 +0000 2020,news lamestreammedia fakenews wearethenewsnow qanon qanons foxnews maga votetrump2020 democratstheenemywithin,"",""
quoted_tweet,1147240664368701440,Edelruth2,Sat Aug 01 03:38:57 +0000 2020,qanons thelostelection thestorm,"",""
reply,1259225768267321344,DanaEiranon,Sat Aug 01 03:39:11 +0000 2020,qanon wwg1wga,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:39:44 +0000 2020,qanon,"",""
reply,3876285323,Marybankergirl,Sat Aug 01 03:40:43 +0000 2020,wwg1wga qanoncanada,"",""
quoted_tweet,2642927008,Woodsprite99,Sat Aug 01 03:41:54 +0000 2020,osha fauci qanons wearethenewsnow thegreatawakening,researchforyourselves themoreyouknow truthisinplainsight,""
original,1263356858372366336,BobOne977,Sat Aug 01 03:42:23 +0000 2020,qanon,"",""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:42:41 +0000 2020,qanon,"",""
quoted_tweet,1234703605409734656,Americansonofl1,Sat Aug 01 03:43:48 +0000 2020,maga2020 kag potus qanons qanon digitalsoldiers qarmy trump2020 trumplandslidevictory2020 trumplandslide2020,leadright,""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:45:22 +0000 2020,qanon,"",""
original,911986343336607744,MogulMinds773,Sat Aug 01 03:45:38 +0000 2020,mmpn jointheconversation standup endhate wakeup q qanon wwg1wga potus chicago help maxwellfiles endthis darktolight exposethemall,"",""
retweeted_tweet_without_comment,1000924337082388480,spark_radio_net,Sat Aug 01 03:46:40 +0000 2020,mmpn jointheconversation standup endhate wakeup q qanon wwg1wga,"",mmpn jointheconversation standup endhate wakeup q qanon wwg1wga potus chicago help maxwellfiles endthis darktolight exposethemall
retweeted_tweet_without_comment,1008176372622110720,tooranomaki6910,Sat Aug 01 03:46:56 +0000 2020,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,"",trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3
reply,1228758085893640192,umpire_d,Sat Aug 01 03:50:48 +0000 2020,qanon,"",""
